id,name,city,state,zip,type,status,county,countyfips,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,max_volt,min_volt,max_infer,min_infer
200247,TAP200247,NOT AVAILABLE,BC,NOT AVAILABLE,TAP,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.44,-129.43,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,"12/4/2014, 4:00 PM",IMAGERY,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200248,STEWART,STEWART,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.95,-129.98,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200249,TAP200249,NOT AVAILABLE,BC,NOT AVAILABLE,TAP,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,56.11,-129.38,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,"12/4/2014, 4:00 PM",IMAGERY,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200250,FORT NELSON,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,58.65,-122.69,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200251,WESCUP,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,58.72,-122.7,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200252,TAP200252,NOT AVAILABLE,BC,NOT AVAILABLE,TAP,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,54.43,-122.6,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,"12/4/2014, 4:00 PM",IMAGERY,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200253,KENNEDY,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.07,-122.79,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200254,SALMON VALLEY,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,54.14,-122.62,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200260,PORTAGE PASS TAP,NOT AVAILABLE,BC,NOT AVAILABLE,TAP,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,56.02,-122.09,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200261,TAP200261,NOT AVAILABLE,BC,NOT AVAILABLE,TAP,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,56.3,-121.19,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,"12/4/2014, 4:00 PM",IMAGERY,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
