outageId,outageGisId,outageRegionId,outageMunicipality,outageArea,outageCause,numCustomersOut,crewEta,dateServiceOut,dateServiceRestored,estDateServiceRestored,crewEtr,outageLastUpdated,outageRegionName,outageLatitude,outageLongitude,nearestSubstationId,outageToSubstationDistance,substationName,substationCity,typeOfSubstation,statusOfSubstation,substationLatitude,substationLongitude
2532966,2506917.0,521980323,Surrey,"South of 62A AVE, East of 172A ST, North of 60TH AVE, West of 175A ST",Planned work being done on our equipment,41,2025-01-02 17:50:00+00:00,2025-01-02 17:45:27+00:00,2025-01-03 03:47:13+00:00,2025-01-03 04:00:00+00:00,2025-01-03 04:00:00+00:00,2025-01-02 23:16:45+00:00,Lower Mainland,49.113445,-122.742054,200010,2.771198579882522,CLOVERDALE,SURREY,SUBSTATION,IN SERVICE,49.1,-122.71
2532969,2506920.0,1812901382,Oak Bay,"1200 block MONTEREY, 1200 block MONTEREY AVE",Planned work being done on our equipment,10,2025-01-02 18:20:00+00:00,2025-01-02 18:14:48+00:00,2025-01-02 19:20:45+00:00,2025-01-02 18:45:00+00:00,2025-01-02 18:45:00+00:00,2025-01-02 18:31:52+00:00,South VI,48.423614,-123.314073,200068,4.51062025631961,HORSEY,VICTORIA,SUBSTATION,IN SERVICE,48.44,-123.37
2532971,2506922.0,521980323,Abbotsford,"2300 - 2400 block LYNDEN ST, 32200 - 32300 block PEARDONVILLE RD",Planned work being done on our equipment,19,2025-01-02 18:20:00+00:00,2025-01-02 18:19:11+00:00,2025-01-02 20:11:02+00:00,2025-01-02 20:00:00+00:00,2025-01-02 20:00:00+00:00,2025-01-02 18:20:10+00:00,Lower Mainland,49.045516,-122.329856,200150,3.3210818540068874,ABBOTSFORD,ABBOTSFORD,SUBSTATION,IN SERVICE,49.06,-122.29
2532972,2506923.0,1602896846,Campbell River,400 block GOODWIN RD,Work being done on our equipment,12,2025-01-02 20:05:00+00:00,2025-01-02 18:20:00+00:00,2025-01-02 21:09:10+00:00,2025-01-02 20:25:00+00:00,2025-01-02 20:25:00+00:00,2025-01-02 20:05:37+00:00,North VI,49.971152,-125.23309,200029,5.564520856456862,CAMPBELL RIVER,CAMPBELL RIVER,SUBSTATION,IN SERVICE,50.02,-125.25
2532974,2506925.0,1812901382,Saanich,"South of BLAIR AVE, North-East of OAKWOOD ST, West of CEDARWOOD ST",Planned work being done on our equipment,34,2025-01-02 20:00:00+00:00,2025-01-02 18:27:00+00:00,2025-01-02 22:09:27+00:00,2025-01-02 23:00:00+00:00,2025-01-02 23:00:00+00:00,2025-01-02 20:00:39+00:00,South VI,48.471509,-123.328721,200069,2.312062304417216,GEORGE TRIPP,SAANICH,SUBSTATION,IN SERVICE,48.47,-123.36
2532975,2506926.0,725364552,Sicamous,"900 block BIRCH AVE, 600 block SPRUCE ST",Planned work being done on our equipment,11,2025-01-02 18:30:00+00:00,2025-01-02 18:27:54+00:00,2025-01-02 19:07:45+00:00,2025-01-02 19:00:00+00:00,2025-01-02 19:00:00+00:00,2025-01-02 18:29:00+00:00,Thompson/Shuswap,50.831182,-118.977291,200301,1.1061498002526364,SICAMOUS,NOT AVAILABLE,SUBSTATION,IN SERVICE,50.84,-118.97
2532976,2506927.0,848340027,Prince George,"East of KLUSS RD, South-West of CRANBROOK HILL RD",Planned work being done on our equipment,48,2025-01-02 18:30:00+00:00,2025-01-02 18:29:48+00:00,2025-01-02 19:07:45+00:00,2025-01-02 19:00:00+00:00,2025-01-02 19:00:00+00:00,2025-01-02 18:31:00+00:00,Central Interior,53.91078,-122.831817,200204,1.4316290120725894,FOOTHILLS,NOT AVAILABLE,SUBSTATION,IN SERVICE,53.91,-122.81
2532979,2506930.0,1602964060,Daajing Giids,300 block SCHOOL RD,Under investigation,1,2025-01-02 22:00:00+00:00,2025-01-02 18:40:00+00:00,2025-01-02 23:47:16+00:00,2025-01-02 23:00:00+00:00,2025-01-02 23:00:00+00:00,2025-01-02 23:00:36+00:00,Northern,53.24283,-131.81734,200238,147.02699156866305,RIDLEY COAL,NOT AVAILABLE,SUBSTATION,IN SERVICE,54.23,-130.33
2532982,2506933.0,848340027,Williams Lake,"West of VALLEYVIEW RD, North-East of LIKELY RD, South of HIEBERT DR",Planned work being done on our equipment,6,2025-01-02 19:15:00+00:00,2025-01-02 19:10:55+00:00,2025-01-02 21:09:10+00:00,2025-01-02 21:00:00+00:00,2025-01-02 21:00:00+00:00,2025-01-02 19:12:28+00:00,Central Interior,52.118908,-121.937297,200184,13.892968055377926,WILLIAMS LAKE,WILLIAMS LAKE,SUBSTATION,IN SERVICE,52.13,-122.14
2532985,2506936.0,1602964060,Fort St. John,"16100 block N 287 RD, 15600 - 16200 block 287 RD",Planned work being done on our equipment,4,2025-01-02 19:30:00+00:00,2025-01-02 19:29:05+00:00,2025-01-02 20:11:02+00:00,2025-01-02 20:00:00+00:00,2025-01-02 20:00:00+00:00,2025-01-02 19:31:16+00:00,Northern,56.507533,-121.140275,200262,21.827539780708758,FOX CREEK,NOT AVAILABLE,SUBSTATION,IN SERVICE,56.68,-120.97
